doi;API;cof1;ratio_mole;liquid;liq_amount_mL;mixing_apparatus ;mixing_frequency_Hz;mixing_temp_C;mixing_time_min;drying_time_hour;drying_temp_C;text
10.5530/ijper.53.4s.151 ;Zaltoprofen ;nicotinamide;1:1 ;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;glutaric acid;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;malonic acid;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;benzoic acid;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;tartaric acid;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;oxalic acid;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;citric acid;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;urea;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ; succinic acid;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;saccharine sodium;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Pluronic 68 AR;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Magnesium stearate;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;crotonic acid;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;P-hydroxy benzoic acid ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Caffeine ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;3,5 dihydroxy benzoic acid ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Piperazine citrate ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Cinnamic acid ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Adipic acid ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Hydroquinone ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Isonicotinic acid ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Acetamide ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Maleic acid ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Ascorbic acid ;1:1;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151 ;Zaltoprofen ;alicylic acid;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151 ;Zaltoprofen ;nicotinamide;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;glutaric acid;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;malonic acid;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;benzoic acid;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;tartaric acid;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;oxalic acid;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;citric acid;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;urea;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ; succinic acid;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;saccharine sodium;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Pluronic 68 AR;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Magnesium stearate;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;crotonic acid;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;P-hydroxy benzoic acid ;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Caffeine ;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;3,5 dihydroxy benzoic acid ;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Piperazine citrate ;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Cinnamic acid ;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Adipic acid ;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Hydroquinone ;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Isonicotinic acid ;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Acetamide ;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Maleic acid ;1:2;Methanol ;;mortar and pestle;;;45;;;
10.5530/ijper.53.4s.151;Zaltoprofen ;Ascorbic acid ;1:2;Methanol ;;mortar and pestle;;;45;;;
https://doi.org/10.1007/s10973-015-5058-2;Piroxicam ;saccharin;1:1;Chloroform;;oscillatory ball mill (Mixer Mill MM301, Retsch GmbH & Co., Germany);20;30;;24;30;The raw material of PIR or SAC as well as the physical mixture of PIR–SAC (molar ratio = 1:1) were separately ground in an oscillatory ball mill (Mixer Mill MM301, Retsch GmbH & Co., Germany) with 20 Hz oscillation frequency. About 0.2 g powder sample was placed into a 25-mL volume stainless steel milling jar containing two 7-mm-diameter stainless steel balls and ground at ambient temperature with or without adding two drops of chloroform from a pipette (ca. 0.05 mL) [19, 21]. The temperature of the grinding jar was controlled without exceeding 30 C. During the grinding process, the sample ground was withdrawn at the prescribed intervals and immediately vacuum-dried at 30 C for 24 h and then used for furthe examination.
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;1,4-Dioxane ;0.25;;30;;25;;;The synthesis of the two polymorphs was conducted by neat or liquid-assisted grinding (LAG) in a ball mill (MM400, Retsch, Germany) at 30 Hz for 25 min. A 10 mL steel vessel with two steel balls (10 mm) was used for a of the reactants. In the case of LAG 250 μL of the solvent was added. total load of 1 g 
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;2-Butanone;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Acetophenone;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Chloroform;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Cyclohexane;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Dichloromethane;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Diethyl ether;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Ethanol;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Ethyl acetate;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Ethylene glycol;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Methanol;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;n-Heptane;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;n-Hexane;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;n-Pentane;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Nitromethane;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Tetrahydrofuran;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Acetone;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Acetonitrile;0.25;;30;;25;;;
DOI: 10.1039/c4ce00472h ;caffeine ;Anthranilic acid ;1:1;Dimethylformamide;0.25;;30;;25;;;
DOI:https://doi.org/10.11113/jt.v81.12639;quercetin;succinic acid;1:1;methanol ;;;;;;;;Cocrystal of quercetin and succinic acid was prepared from liquid assisted grinding method. Ball milling apparatus with aluminium oxide balls and methanol as assisting liquid were used for this purpose. Each quercetin and succinic acid were weighed equimolarly. Both pure compounds, 20% (w/v) solvent methanol, and twelve balls were inserted into the grinding jar then it was closed tightly. Ball milling was set for thirty minutes running. The grinded solid was removed into vial covered by aluminium foil
https://doi.org/10.1016/j.molstruc.2024.140387;Voriconazole;2,4-dihydroxybenzoic acid ;1:1;ethyl acetate;1;;;;;240;;"VZL− 24− DHBA form B. VZL 349 mg (1 mmol) and 24− DHBA 154
mg (1 mmol) were accurately weighed in to a mortar and were ground
with 2 mL of ethyl acetate. During the grinding process, the sample
powder transformed into a sticky gum. The gum was confirmed as
amorphous by PXRD (Figure S1). Continuous grinding transformed the
gum into a solid powder again, which was then dissolved in an appropriate
amount of ethyl acetate under ambient condition to achieve a saturated solution. After 10 days, colorless block applicable single
crystals were harvested."
http://dx.doi.org/10.1016/j.tca.2013.10.029;Metaxalone;oxalic acid;2:1 ;ethyl alcohol;;;;;;;25;"Metaxalone and each dicarboxylic acid having a 1:0.5
stoichiometric ratio were precisely weighed. Approximately
0.05 g of metaxalone was used. Each physical mixture of
metaxalone–dicarboxylic acid was homogeneously mixed in an
agate mortar. After the addition of a few drops of ethyl alcohol, the
mixture was ground with a pestle until dry. The solvent-assisted
ground mixtures were vacuum-dried at 25◦C for further examina-
tion."
http://dx.doi.org/10.1016/j.tca.2013.10.029;Metaxalone;malonic acid;2:1 ;ethyl alcohol;;;;;;;25;
http://dx.doi.org/10.1016/j.tca.2013.10.029;Metaxalone;succinic acid;2:1;ethyl alcohol;;;;;;;25;
http://dx.doi.org/10.1016/j.tca.2013.10.029;Metaxalone;fumaric acid;2:1;ethyl alcohol;;;;;;;25;
http://dx.doi.org/10.1016/j.tca.2013.10.029;Metaxalone;maleic acid;2:1;ethyl alcohol;;;;;;;25;
http://dx.doi.org/10.1016/j.tca.2013.10.029;Metaxalone;glutaric acid;2:1;ethyl alcohol;;;;;;;25;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:1;acetonitrile ;;;;;;;;Trans-aconitic acid (TACA) (MW 174.108 g mol−1) and nicotin- amide (NA) (MW 122.127 g mol−1) were taken in 1 : 1 and 1 : 2 stoichiometric ratios and ground using a mortar and pestle in the presence of various added liquids for about 30 min, resulting in the formation of the respective salt and cocrystal. The resultant powder materials were examined using powder X- ray diffraction (PXRD). The solution crystallization of all the salt and cocrystal of TACA and NA was carried out using powdered samples obtained from LAG with various laboratory solvents (acetonitrile, dioxane, ethanol, methanol, nitromethane, tetrahydrofuran, etc.) by placing around 30–40 mg of the powdered material in ∼2–3 mL of the respective solvents and stirring until the solids disappeared. The clear solution (ltrate) was kept at room temperature for crystallization.
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:1;dioxane ;;;;;;;;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:1;ethanol ;;;;;;;;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:1;methanol;;;;;;;;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:1;nitromethane;;;;;;;;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:1;tetrahydrofuran ;;;;;;;;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:2;acetonitrile ;;;;;;;;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:2;dioxane ;;;;;;;;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:2;ethanol ;;;;;;;;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:2;methanol;;;;;;;;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:2;nitromethane;;;;;;;;
DOI: 10.1039/d3mr00022b;Trans-aconitic acid ;nicotinamide ;1:2;tetrahydrofuran ;;;;;;;;
https://doi.org/10.1016/j.molstruc.2023.135806; cyanuric acid;5-aminoisophthalic acid;1:1;acetonitrile;;;;;;;;"Synthesis of 5AIPA and CUA cocrystals: ALDTHL (22 mg, 0.1mmol) along with all other coformers in 1:1 stoichiometry were ground
in a mortar pestle in the presence of 2–3 drops of acetonitrile as liquid
(LAG) for about 15 min, results in the formation of the respective cocrystals.
The resultant powder materials were examined using powder X-
ray diffraction (PXRD) and thermal techniques. For single crystal analysis,
powder samples of the respective cocrystals were crystallized from
minimum volume of 1:1 methanol-THF mixture solvents (for details see
Results and Discussion section)."
http://dx.doi.org/10.1016/j.jpba.2017.01.025;Praziquantel;citric acid;1:1;ethanol;0.15;;;;;;;"Solid binary and ternary products of PZQ with different addi-
tives were prepared by co-grinding their corresponding equimolar
mixtures in a high-energy vibrational micromill (Mixer Mill MM
200, Retch, GmbH, Germany) at an ambient temperature. Cocrys-
tals with selected acids were prepared by both neat grinding and
liquid assisted grinding. 150 mg of PZQ and an equimolar amount
of selected organic acid were accurately weighted, transferred into
10 mL volume stainless steel grinding jars containing two 7 mm
stainless steel grinding balls and subjected to neat grinding at
25 Hz over 30 min, with or without an addition of 15 L of abso-
lute ethanol. Binary PZQ complexes with cyclodextrins and ternary
complexes with selected cyclodextrins and organic acid were pre-
pared by neat grinding at 25 Hz for 30 min in an equimolar drug to
additive ratio. In all cases, the batch size was 200 mg. To evaluate
the effect of the applied procedure on the PZQ solid state proper-
ties, the drug alone was also submitted to the grinding under the
same conditions. The obtained products were stored in a desiccator
at room temperature. Physical mixtures were prepared by gently
blending PZQ and the selected additive at the given ratio in a mortar
with spatula immediately before the use."
http://dx.doi.org/10.1016/j.jpba.2017.01.025;Praziquantel;malic acid;1:1;ethanol;0.15;;;;;;;
http://dx.doi.org/10.1016/j.jpba.2017.01.025;Praziquantel;salicylic acid;1:1;ethanol;0.15;;;;;;;
http://dx.doi.org/10.1016/j.jpba.2017.01.025;Praziquantel;tartaric acid;1:1;ethanol;0.15;;;;;;;
https://doi.org/10.1016/j.ijpharm.2023.122983;Remdesivir;salicylic acid;1:1;ethanol;0.2;;;;;0.5;80;"Equimolar amounts (0.405 mmol) of RDV form II (244.1 mg) and SA
(55.9 mg) were gently ground with a mortar and pestle for 15 min at
ambient conditions, with addition of 20 µL of ethanol (EtOH), methanol
(MeOH), acetone (ACE), acetonitrile (ACN), or chloroform (CHF),
respectively. The powders were frequently scraped out from the mortar
and pestle, and re-mixed throughout the grinding process. The final
products obtained from LAG were thermally annealed at 80 ◦C for 30
min in a laboratory oven (E23, BINDER Inc., New York, USA), and then
gently triturated for further analysis."
https://doi.org/10.1016/j.ijpharm.2023.122983;Remdesivir;salicylic acid;1:1;acetone;0.2;;;;;0.5;80;
https://doi.org/10.1016/j.ijpharm.2023.122983;Remdesivir;salicylic acid;1:1;acetonitrile;0.2;;;;;0.5;80;
https://doi.org/10.1016/j.ijpharm.2023.122983;Remdesivir;salicylic acid;1:1;chloroform;0.2;;;;;0.5;80;
https://doi.org/10.1016/j.jddst.2022.103228;quercetin;theophylline;1:1;methanol;0.3;;;;;;;"Liquid-assisted grinding experiment was performed by using a Pulverisette
23 ball mill (Fritsch, Germany). The mixture of QUE⋅2H2O
(67.6 mg, 0.2 mmol) and THP (36.0 mg, 0.2 mmol) was co-ground with
30 μL of methanol in a 10 mL stainless steel jar with one 15 mm stainless
steel grinding ball. The mixture was ground for 25 min at a frequency of
40 Hz."
 https://doi.org/10.1002/asia.201300859;andrographolide;salicylic acid;1:1;water;;;;;;;;" In this experiment, andrographolide
and salicylic acid were added in a 1:1 stoichiometric ratio to an agate mortar. Liquid-assisted grinding with a few drops of water was performed
for 40 min to obtain andrographolide-salicylic acid cocrystals."
https://doi.org/10.1016/j.molstruc.2024.140988;Daidzein;4,4′-Vinylenedipyridine;1:1;anhydrous ethanol;0.1;;;;;;;"DAI and 4VDP or 4EDP (DAI: 4VDP or 4EDP =1:1) were put in a 2
mL centrifuge tube, along with two 3.0 mm diameter zirconia pellets and
a small quantity of anhydrous ethanol (10 μL). The tube was then
inserted into a 48-channel high-throughput ball mill and grounded at 20
Hz at room temperature for 60 min. After grinding and drying, the
resulting solid powders were obtained, identified as DAI-4VDP cocrystal
powder or DAI-4EDP cocrystal powder."
https://doi.org/10.1016/j.molstruc.2024.140988;Daidzein;4,4′-Ethylenedipyridine;1:1;anhydrous ethanol;0.1;;;;;;;
https://doi.org/10.1016/j.jconrel.2024.09.005;dicamba;phenazine;2:1; ethanol;0.2;;;;;;;"The DCB-PHE cocrystal was prepared using a liquid-assisted grinding
(LAG) method. DCB and PHE were thoroughly mixed in a 2:1 M ratio
(totaling 622.3 mg), and then ground with the addition of 20 μL ethanol
using an agate mortar. Upon completion of the grinding process, the
powder was subjected to PXRD and FT-IR characterization to confirm
the formation of new phases."
https://doi.org/10.1016/j.matpr.2019.03.069;betulin;Adipic acid;1:1;dioxan;1;;;;;;;"In order to prepare cocrystals, mixtures of betulin with carboxylic acids with 1:1 molar ratios were ball-milled in a 60 mL steel jar with the balls of the same material and 6 mm in diameter using a SPEX 8000 mixer mill (CertiPrep Inc., USA). Ratio of mass of sample to mass of balls was 1:15. The mixtures had been pre-milled in dryness for 5 min; afterwards, 1 mL of dioxan was added and the paste was subsequently milled for 10 min."
https://doi.org/10.1016/j.matpr.2019.03.069;betulin;succinic acid;1:1;dioxan;1;;;;;;;
https://doi.org/10.1016/j.matpr.2019.03.069;betulin;suberic acid;1:1;dioxan;1;;;;;;;
https://doi.org/10.1016/j.ijpharm.2022.122283; hydrochlorothiazide;nicotinamide;1:1; ethanol;0.1;;;;;8;40;"Screening of suitable coformers (NIA, NIC, and SUC) for the developing
HCTZ cocrystals was conducted using the conventional LAG
approach. The binary mixtures of the drug and coformer were triturated
for 30 min in a clean mortar and pestle by adding a few drops of ethanol
(approximately 100 μL) to improve cocrystallization kinetics. All formulations
were investigated in a molar ratio of 1:0.5, and 1:1 for the
drug and coformers, respectively. The collected material was dried
overnight in a laboratory oven at 40 ◦C to remove any trace amount of
solvent before further characterization."
https://doi.org/10.1016/j.ijpharm.2022.122283; hydrochlorothiazide;succinimide;1:1; ethanol;0.1;;;;;8;40;
https://doi.org/10.1016/j.ijpharm.2022.122283; hydrochlorothiazide;nicotinic acid;1:1; ethanol;0.1;;;;;8;40;
;;;;;;;;;;;;
